,제목,가수,가사,좋아요
0,밤양갱,비비(BIBI),"떠나는 길에 니가 내게 말했지
'너는 바라는 게 너무나 많아
잠깐이라도 널 안 바라보면
머리에 불이 나버린다니까'
나는 흐르려는 눈물을 참고
하려던 얘길 어렵게 누르고
'그래 미안해'라는 한 마디로
너랑 나눈 날들 마무리했었지

달디달고 달디달고 달디단 밤양갱 밤양갱
내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야

떠나는 길에 니가 내게 말했지
'너는 바라는 게 너무나 많아'
아냐 내가 늘 바란 건 하나야
한 개뿐이야 달디단 밤양갱

달디달고 달디달고 달디단 밤양갱 밤양갱
내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야

상다리가 부러지고
둘이서 먹다 하나가 쓰러져버려도
나라는 사람을 몰랐던 넌

떠나가다가 돌아서서 말했지
'너는 바라는 게 너무나 많아'
아냐 내가 늘 바란 건 하나야
한 개뿐이야 달디단 밤양갱
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","3,923"
1,To. X,태연 (TAEYEON),"처음 본 널 기억해
We skipped the small talk
바로 다음 단계였지 뭐
단점이라곤 없는 게 단점이라던
그 허세도 마냥 좋았어
하지만 내 일기가
재미없어진 이유
내가 없어진 나의
매일들은 허전해
좀 이상해 왜 둘 사이에
너만 너만 보이는 걸까
난 까다롭고 힘든 아이라
그런 피곤한 생각만 한대
오늘 나눈 문자 속에
새로 산 티셔츠
그 얘기뿐이야
이제야 난 알 것 같아
Gonna block you
불을 꺼 To. X
그 좋아했던 립스틱
싫단 말에 버린
널 좋아했던 만큼
다 맞추려 했어
‘나 아님 누가
그런 세상 안아주겠어’
그 말이 그땐 그리
달콤했던 거야 Oh no
새벽의 긴 통화도
이젠 피곤해졌어
Every day, every night
나로 채우고 싶어
좀 이상해 왜 둘 사이에
너만 너만 보이는 걸까
난 까다롭고 힘든 아이라
그런 피곤한 생각만 한대
오늘 나눈 문자 속에
새로 산 티셔츠
그 얘기뿐이야
이제야 난 알 것 같아
Gonna block you
불을 꺼 To. X
Gonna block you
불을 꺼 To. X
Say Bye
Gonna block you
불을 꺼 To. X
깜빡거리는
흔들거리는 Light
Gonna block you
불을 꺼 To. X
좀 이상해 왜 둘 사이에
너만 너만 보이는 걸까 (너만 보일까)
난 까다롭고 힘든 아이라
그런 피곤한 생각만 한대
오늘 나눈 문자 속에 (이제 불을 꺼)
새로 산 티셔츠
그 얘기뿐이야
이제야 난 알 것 같아
Gonna block you
불을 꺼 To. X
Gonna block you
불을 꺼 To. X
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","3,889"
2,drinks or coffee,로제(ROSÉ),"Standing in the corner
Of a crowded place
This is boring
Till I heard your name
And now I'm staying for ya
We're just friends it's okay
Kinda weird how my night changed 

Is it just me
Starting to see
You in a different light
I know we can't say what we mean 
But I'm happy that you're here tonight 

I'm feeling so good
At a bad party
We don't have to talk
I know that you want me 
Gotta keep it nice 
We cannot be naughty 
We can get drinks
Or we could get coffee 

Feeling so good
At a bad party
We don't have to talk
I know that you want me 
Gotta keep it nice
We cannot be naughty 
We can get drinks
Or we could get coffee 

Is it so wrong
I've been thinking bout you
All day, yesterday, and today and tomorrow 
Is it so wrong
I've been bending the truth
All day, yesterday, and today and tomorrow 

Is it just me
Starting to see
You in a different light 
I know we can't say what we mean 
But you know that I mean it right 

I'm feeling so good
At a bad party
We don't have to talk
I know that you want me 
Gotta keep it nice 
We cannot be naughty 
We could get drinks 
Or we could get coffee 

Feeling so good
At a bad party
We don't have to talk
I know that you want me 
Gotta keep it nice
We cannot be naughty 
We could get drinks
Or we could get coffee 

Drinks,
Coffee,
Drinks,
Coffee,
Drinks,
Or coffee
Just call me yeah 
Drinks, 
Coffee,
Drinks,
Coffee,
Drinks,
Or coffee
Just call me yeah
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",383
3,"무제(無題) (Untitled, 2014)",G-DRAGON,"나에게 돌아오기가 어렵고 힘든 걸 알아
이제 더는 상처받기가 두렵고 싫은 걸 알아
네가 떠나 버린 그날에도 모진 말로 널 울리고
뒤돌아 서서 후회해 미안해
제발 단 한 번이라도 너를 볼 수 있다면
내 모든 걸 다 잃어도 괜찮아
꿈에서라도 너를 만나 다시 사랑하기를
우리 이대로
너에게 용서받기 보다 죽는 게 더 쉬울지 몰라
이 노래를 불러보지만 내 진심이 닿을지 몰라
네가 행복하기를 바래 그 흔한 거짓말도 못하고
돌아오기만 기도해 미안해
제발 단 한 번이라도 너를 볼 수 있다면
내 모든 걸 다 잃어도 괜찮아
꿈에서라도 너를 만나 다시 사랑하기를
우리 이대로
이제는 끝이라는 마지막이라는
너의 그 맘을 난 믿을 수 없어
I can't let go, cuz you never know
내겐 너 같은 너에겐 나 같은
그런 사랑은 두 번 다시는 없어
Nobody knows we always know
제발 단 한 번이라도 너를 볼 수 있다면
내 모든 걸 다 잃어도 괜찮아
꿈에서라도 너를 만나 다시 사랑하기를
지금 이 시간이 지나가고 다 잊을 수 있다면
그 기억도 행복했던 추억도
아니 다음 생에도 너를 만나 다시 사랑하기를
예전 그대로
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","18,544"
4,gameboy,로제(ROSÉ),"If crying was fun
I'll be having the time of my life
If loving you was a jump
Yeah I probably died a hundred ten times 

Gave you my favorite memories 
Yeah I hate the way I let you inside 
Just so you could take it for granted 
Two years, now I understand it 

Yeah you'll always be a gameboy 
These days I don't wanna play boy 
Say say what you wanna say 
You're never gonna change 
You'll only ever be a heartbreak, heartbreak 
Yeah you'll only ever be a heartbreak, heartbreak 

Yeah you got a little too good 
acting like a good guy
And I bought it for a minute 
but isn't what you made it look like 
Yeah you got a cute face, 
and that kept me entertained
And the way you say my name
Won't lie it felt amazing
But you took my love for granted
And it took me two years to understand it 

Yeah you'll always be a gameboy 
These days I don't wanna play boy 
Say say what you wanna say 
You're never gonna change 
You'll only ever be a heartbreak 

Yeah you'll always be a gameboy 
All day keep me on the chase boy 
Say say what you wanna say 
You're never gonna change 
You'll only ever be a heartbreak
 
Shame on me should've known better 
I let you play me whatever 
Something's just ain't meant to be 
Kinda like you and me, yeah yeah 

Thought you would love me forever 
I should've known you would never 
Something's just ain't meant to be 
Kinda like you and me 

Yeah you'll always be a game boy 
These days I don't wanna play boy 
Say say what you wanna say 
You're never gonna change 
You'll only ever be a heartbreak 

Yeah you'll always be a gameboy
All day keep me on the chase boy
Say say what you wanna say
You're never gonna change
You'll only ever be a heartbreak, heartbreak 
Only ever be a heartbreak, heartbreak
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",329
5,시작의 아이,마크툽(MAKTUB),"존재하는 이유
그런 건 아무래도 좋으니
그리 즐겁지도 괴롭지도 않은
바람아 불어라

달을 찾는 이유
예쁜 건 언제 봐도 좋으니
나는 세계의 시계를 부수고
너에게 닿는다

너와 함께 바라본
붕괴하는 세상의 반짝임을
그 찰나를 별의 시작이라고 부를 거야

시간의 중력으로는 우리의 모든 이야기를
따라잡을 수 없을 테니까

시작의 푸름에
모든 이름에
네가 새겨져있을 뿐
낮과 밤을 지나 새벽 속에도
잠들지 않는 아이 아이야

열 번의 기적처럼
널 가득 안은 채
그대로 멈춰라
내 하루에 번져가는 시작의 너

달이 예쁘다고
네게 말해줬던 그 밤은
너무 뜨겁지도 아쉽지도 않은
고요함이었지

너를 찾은 이유
어쩌면 찾지 않았을지도
사실 언제 만났어도 지금처럼 너를 좋아했을 거야

너와 함께 바라본
마주하는 눈빛의 반짝임을
그 찰나를 시작의 별이라고 부를 거야

처음 느낌 그대로
우리의 모든 이야기를
완성해낼 수 있을 테니까

시작의 푸름에
모든 이름에
네가 새겨져있을 뿐
낮과 밤을 지나 새벽 속에도
잠들지 않는 아이 아이야
백야의 하늘 아래
널 가득 안은 채
그대로 멈춰라 내 하루에 번져가는 시작의 너

숨 쉴 수 있는 순간에 한 번 더 너를 안고
그 품이 그리워 미래에 더 아파할 거야
언젠가 시간보다 늦었던 마음이 밉지 않도록
천 개의 바람으로 날아가 흩어지기 전에

내 모든 이름에
꿈의 흐름에
네가 새겨져 있는 걸
숨과 바람 사이 영원속에도
잠들지 않는 아이 아이야
만개의 계절 속에
태어나는 시작의 푸름으로 부르는 노래
널 사랑하는 나의 마음이야

숨 쉴 수 있는 순간에 한 번 더 너를 안고
그 품이 그리워 더 아파할 거야
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",130
6,two years,로제(ROSÉ),"How'd it all fall apart
You were right here before, in my arms 
Now you're invisible
But the heartbreak's physical 

Got a place, moved away
Somewhere with a different code, different state 
Still feels miserable
God it's so chemical 

All that I know
Is I can't let you go 
It's been two years and you're still not gone 
It doesn't make sense that I can't move on 
Yeah I try, I try, I try, I try
But this love never dies 

Two years since you've been in my bed 
Even had a funeral for you in my head 
Yeah I try, I try, I try, I try
But this love never dies 

Another night, another vice
Even try with someone new, someone nice
I'll always hate the fact that you, 
ruined everybody after you 
I'm always coming back to you 

It's been two years and you're still not gone 
It doesn't make sense that I can't move on 
Yeah I try, I try, I try, I try
But this love never dies 

It's been two years since you've been in my bed 
Even had a funeral for you in my head
Yeah I try, I try, I try, I try
But this love never dies 

Maybe I'm just sick and this is how it's gonna be 
Maybe this is all I know
And I know it's not you it's me 

Cuz it's been two years and you're still not gone 
It doesn't make sense that I can't move on
Yeah I try, I try, I try, I try
But this love never dies 

It's been two years since you've been in my bed 
Even had a funeral for you in my head
Yeah I try, I try, I try, I try
But this love never dies
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",221
7,SHEESH,BABYMONSTER,"Da la lun dun
Da la lun dun
Da la lun dun

BABY I'mma MONSTER

Mano a mano
I see you in slow mo'
You know you're in trouble
Ooh hoo hoo hoo

발버둥 쳐봐
어차피 손바닥
위에서 못 나가
You know that

눈을 뜬 순간
피어나
All eyes on me
불을 질러라

Do or die
On my life
Yeah you ain't seen nothing yet

Got them all going
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah

B.A.B.Y.M.O.N
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah
Got them all going

Yo hold on 쉿
걍 들이부어라 네 달팽이관에
이건 네 귀에 줄 축복
음악에 맞춰 걍 춤 춰 

히비리 합 합 boom boom pow
분위기 타올라 너네들 눈 돌아
띵하니 적잖이 충격일 거야

Crown this queen
홈런은 쳤고 내 다음은 위
어중이떠중이 중간 아님
날 보고 닫혔던 입들 say
Sheesh Sheesh Sheesh

You know what it is
I be running this
Pull up in a ghost
Peek a peek a boo hoo
Vroom vroom
너네 심장에 박동이 pump pump pop
Pedal to the metal
Click clack click 
Put'em up to the sky
High high high high

눈을 뜬 순간
피어나
All eyes on me
불을 질러라

Do or die
On my life
Yeah you ain't seen nothing yet

Got them all going
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah

B.A.B.Y.M.O.N
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah
Got them all going

마음껏 웃어봐
이젠 내 차례니까

천천히 불태워 네가 잠든 사이

Time's up
올라가 올라가 더

꼭대기 꼭대기로
하늘 위 하늘 위로

Fly away
온 세상을 뒤집어
Come on let's ride 

BABY I'mma MONSTER

B A B Y M O N
Tell a friend tell a friend tell a friend
B A B Y M O N
Tell a friend tell a friend tell a friend

Let's go
Jump jump and let it go
Watch out we on a roll 
Rum pump pump pump it up then

Jump jump and let it go
Watch out we on a roll 
Rum pump pump pump it up then
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,488"
8,사랑 노래,부석순(SEVENTEEN),"너의 소식을 전해 들은 어젯밤
왼쪽 가슴이 내려앉는 듯했어
그리움이란 마음은 헤어짐보다 더 아파
한동안 아무렇지 않았는데 맘이 아려 와

너의 번호를 지우지 못하고서
널 잊었다고 거짓말해 봤지만
내 Playlist는 네가 채워 놓은
사랑 노래뿐인걸
 
아픈 덴 없니 밥은 잘 먹는지
나 없이도 행복하게 지내니
내 맘이 들리니 텔레파시처럼
애를 써도 지워지지 않는 Story

IIII just wait for you III
IIII just wait for you III
IIII just wait for you III
IIII just wait for you III

내 전부를 주어도 아깝지가 않았던
(내 맘을 주고 싶어서 너의 오른손 잡았던)
너를 보내고 후회만 가득 남았어
(우리들의 추억은 또 이렇게)
스쳐 지나왔어

하루가 가고 한 달이 지났을 때
널 잊었다고 거짓말해 봤지만
내 Playlist는 네가 채워 놓은
사랑 노래뿐인걸
 
아픈 덴 없니 밥은 잘 먹는지
나 없이도 행복하게 지내니
내 맘이 들리니 텔레파시처럼
애를 써도 지워지지 않는 Story

IIII just wait for you III
IIII just wait for you III
IIII just wait for you III
IIII just wait for you III
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",186
9,벌써 일년,브라운 아이즈(Brown Eyes),"처음이라 그래 며칠뒤엔 괜찮아져
그 생각만으로 벌써 일년이
너와 만든 기념일마다
슬픔은 나를 찾아와
처음 사랑 고백하며 설렌 수줍음과
우리 처음 만난날 지나가고
너의 생일엔 눈물의 케익
촛불 켜고서 축하해
I believe in you
I believe in your mind
벌써 일년이 지났지만
일년뒤에도 그 일년뒤에도 널 기다려
너무보고싶어 돌아와줘 말 못했어
널 보는 따뜻한 그의 눈빛과
니 왼손에 껴진 반지보다
빛난 니 얼굴 때문에
I believe in you
I believe in your mind
다시 시작한 널 알면서
이젠 나없이 추억을 만드는 너라는 걸
내가 기억하는 추억은 언제나
지난 웃음과 얘기와 바램들
또 새로 만들 추억은 하나뿐
내 기다림과 눈물 속 너일뿐
I believe in you
I believe in your mind
다시 시작한 널 알면서
이젠 나없이 추억을 만드는 너라는 걸
I believe in you
I believe in your mind
벌써 일년이 지났지만
일년뒤에도 그 일년뒤에도 널 기다려
kwon8492 님이 등록해 주신 가사입니다.
가사 오류 제보","266,941"
10,꽃 길,BIGBANG (빅뱅),"그땐 참 좋았는데 말이야
너와 함께할 수만 있다면
때론 외롭고 슬퍼도 말이야
너와 같이 할 수만 있다면
Sing it na na na
노래해 나나나
우리 이게 마지막이 아니야
부디 또 만나요 꽃이 피면
때론 꽤 별난 일이 많아
넌 나 같이 못난 놈을 만나
다시 누군갈 사랑할 수 있을까?
너 아니라면 그럴 일은 없을 것 같아
나 의식 없이 발길 흐름대로 가던 길
날 화려히 비춰주던 네 빛 한줄기
그 전율이 느껴지는 예쁜 꽃 길
그곳에 너로 인해 설수 있던
Roly poly toy
떠나려거든 보내 드리오리다
님이 가시는 길에 꽃을 뿌리오리다
그리워지면 돌아와 줘요
그때 또 다시 날 사랑해줘요
이 꽃 길 따라 잠시 쉬어가다가
그 자리 그곳에서 날 기다려요
그땐 참 좋았는데 말이야
너와 함께할 수만 있다면
때론 외롭고 슬퍼도 말이야
너와 같이 할 수만 있다면
많이 울기도 했지만 웃은 일도 많아
내 머릿속 안에는 추억이 너무 많아
이 또한 지나갈 테니까
이 다음에 만나요 꽃이 피면
1년 365 이 세상 하나뿐인
넌 내 음악의 motive 날 일깨워주는 은인
네 커다란 꽃밭에 기대어 막 떠오르던 가사 말
아직도 참 생생해 빠담빠담
너란 만개 한 꽃의 색은 100000 개
무한대 거대한 울림 vivaldi의 사계
아직도 그댄 내 맘에 담을 수 없는 그림
내 눈을 의심하지
You are my magical queen
떠나려거든 보내 드리오리다
님이 가시는 길에 꽃을 뿌리오리다
그리워지면 돌아와 줘요
그때 또 다시 날 사랑해줘요
이 꽃 길 따라 잠시 쉬어가다가
그 자리 그곳에서 날 기다려요
꽃 잎 따다 입을 맞추죠
얼굴은 빨개지고
꽃 길을 깔아 준비를 하죠
그대가 오시는 길
그리워지면 돌아와 줘요
그때 또 다시 날 사랑해줘요
이 꽃 길 따라 잠시 쉬어가다가
그 자리 그곳에서 날 기다려요
꽃 잎 따다 입을 맞추죠
얼굴은 빨개지고
꽃 길을 깔아 준비를 하죠
그 자리 그곳에서 날 기다려요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","11,907"
11,눈의 꽃,박효신 CONNECT 아티스트,"어느새 길어진 그림자를 따라서
땅거미 진 어둠 속을 그대와 걷고 있네요
손을 마주 잡고 그 언제까지라도
함께 있는 것만으로 눈물이 나는 걸요

바람이 차가워 지는 만큼 
겨울은 가까워 오네요
조금씩 이거리 그 위로 
그대를 보내야 했던 계절이 오네요

지금 올해의 첫 눈꽃을 바라보며
함께 있는 이 순간에
내 모든걸 당신께 주고 싶어 
이런 가슴에 그댈 안아요
약하기만 한 내가 아니에요 
이렇게 그댈 사랑하는데
그저 내 맘이 이럴 뿐인거죠

그대 곁이라면 또 어떤 일이라도
할 수 있을 것만 같아
그런 기분이 드네요
오늘이 지나고 또 언제까지라도
우리 사랑 영원하길 기도하고 있어요

바람이 나의 창을 흔들고
어두운 밤마저 깨우면
그대 아픈 기억마저도
내가 다 지워줄게요 환한 그 미소로

끝없이 내리는 새하얀 눈꽃들로 
우리 걷던 이 거리가
어느새 변한 것도 모르는 체 
환한 빛으로 물들어 가요
누군가를 위해 난 살아갔나요
무엇이든 다 해주고 싶은 
이런게 사랑인줄 배웠어요

혹시 그대 있는 곳 어딘지 알았다면
겨울 밤 별이 돼 그대를 비췄을 텐데
웃던 날도 눈물에 젖었던 슬픈 밤에도
언제나 그 언제나 곁에 있을게요

지금 올해의 첫 눈꽃을 바라보며
함께 있는 이 순간에 
내 모든걸 당신께 주고 싶어 
이런 가슴에 그댈 안아요
울지 말아요 나를 바라봐요 
그저 그대의 곁에서
함께 있고 싶은 맘뿐이라고 
다신 그댈 놓지 않을 테요

끝없이 내리며 우릴 감싸온 
거리 가득한 눈꽃 속에서
그대와 내 가슴에 조금씩 
작은 추억을 그리네요
영원히 내 곁에 그대 있어요
ajaj1035 님이 등록해 주신 가사입니다.
가사 오류 제보","20,470"
12,BOKAY,JSliver,"I said we used to be okay
that smile on your face
overs the way
thinking back of yesterday
Like a women brays
I was the way
Like a women brays
thinking back of yesterday
I said we used to be okay
that smile on your face
overs the way
thinking back of yesterday
Like a women brays
I was the way
Like a women brays
thinking back of yesterday
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",1
13,dance all night,로제(ROSÉ),"Got out of my bed today
The sunlight was hitting my face
And two little birds came and sat on the edge
and they ask if I'm doin okay
And we talked for a while, sat for a while
And one of them asked me 
if there's anything I would change
And I didn't know what to say
But I 

I would dance all night
Not care about the heartache in my life 
Oh
And I would not obsess
Over all the little things I don't regret 
I'd dance all night, night
I'd dance all night, night
Oh
And I
I'd dance all night
Night
Dance all night 

I wouldn't be so in my head
3 words every chance that I get
Be spontaneous
And better with trust
And say things that I should've said 
I would let my feelings lead me
Let you be the one to hold me now 
And maybe this time you could stay 
Cause I 

I would dance all night
Not care about the heartache in my life 
Oh
And I would not obsess
Over all the little things 
I don't regret I'd dance all night, night
I'd dance all night, night
Oh
And I
I'd dance all night, night 

Dance all night
I'll be there for you tomorrow
You can dry your eyes
We'll laugh away the sorrow
When the morning comes
Just promise me you'll stay forever young 
Forever young
I 

I would dance all night
Not care about the heartache in my life 
Oh
And I would not obsess
Over all the little things I don't regret 
I'd dance all night, night
I'd dance all night, night
Oh
And I
I'd dance all night, night
Dance all night
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",285
14,Wake Up,Yunebee,"i dunno 가만히 있어도 
괜히 멀어진 느낌이야 전엔
쓸데없이 나누고 싶었던 게 참 많았지 
헤어지기 전엔
조금 만 것들도 이젠 꼴 뵈기 싫어져 
지쳤단 말을 하네
너와 두 손을 맞잡는 관계를 
이제는 진짜로 정리할 때

월 화 수 목 금 what you doin 안 궁금해도
안 내켜도 외부에 시선 돌릴 곳도 잔뜩
이 체인들은 누구 건지 
궁금해하는 너는 who are you?
건들면 수북이 쌓인 시체들처럼 여기 구급
차에 실 려가 주 위
하이에나들이나 너나 똑같지
난 레드 필 없이도 있어 girls 핸드폰에 가득히
남들이 나를 보기엔 내가 너를 붙잡아야 하겠지
but 너 없이는 똑같지만 
나 없인 네 집 크기도 변하잖니

차에 실려간 주위
하이에나들이나 너나 똑같지 yea
난 레드필 없이도 있어 girls 핸드폰에 가득히
남들이 나를 보기엔 내가 너를 붙잡아야 하겠지
but 너 없이는 똑같지만 
나 없인 네 집 크기도 변하잖니

i dunno 가만히 있어도 
괜히 멀어진 느낌이야 전엔
쓸데없이 나누고 싶었던 게 참 많았지 
헤어지기 전엔
조금 만 것들도 이젠 꼴 뵈기 싫어져 
지쳤단 말을 하네
너와 두 손을 맞잡는 관계를 
이제는 진짜로 정리할 때
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",11
15,Spirit,Chloe snow,"It's a physical
I can we explore something more sprit
I can we explore something more sprit
I'm just asking cuz it's would I need to know
My body secret not just for the taken
Prove to me that your work the way yea
My body secret not just for the taken
Prove to me that your work the way yea
It's a physical
I can we explore something more sprit
I can we explore something more sprit
I'm just asking cuz it's would I need to know
My body secret not just for the taken
Prove to me that your work the way yea
My body secret not just for the taken
Prove to me that your work the way yea
let me give it up to you
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",1
